SupplierName,TotalOrders,TotalRevenue,AvgFeedback,AvgLeadTime
Twitternation,3,2574170.46,3.0,61.666666666666664
Fivespan,3,2572539.7199999997,3.0,184.33333333333334
Yambee,3,2568488.63,3.3333333333333335,127.33333333333333
Eimbee,3,2558995.34,4.666666666666667,101.33333333333333
Brainlounge,3,2551312.57,3.6666666666666665,115.0
Zoovu,3,2543311.56,3.3333333333333335,62.666666666666664
Twinte,3,2516986.8899999997,3.0,-1.6666666666666667
Trupe,3,2500678.04,2.0,83.33333333333333
Skaboo,3,2493911.0,1.6666666666666667,40.0
Zoonder,3,2485614.5,2.0,21.333333333333332
Eidel,3,2485105.69,3.6666666666666665,74.0
Zoomcast,3,2481746.6799999997,4.333333333333333,31.0
Mycat,3,2481283.38,4.0,79.66666666666667
Yodoo,3,2473752.49,3.3333333333333335,180.33333333333334
Digitube,3,2471809.02,1.6666666666666667,23.333333333333332
Kanoodle,3,2470035.01,2.6666666666666665,33.333333333333336
Kwilith,3,2465251.19,2.3333333333333335,197.33333333333334
Jabberbean,3,2459533.54,1.6666666666666667,153.33333333333334
Zoonoodle,3,2455625.67,4.0,45.666666666666664
Trunyx,3,2450972.52,2.6666666666666665,160.0
Trilith,3,2446760.79,3.6666666666666665,55.0
Meejo,3,2446551.9000000004,4.0,93.66666666666667
Realmix,3,2442778.29,4.0,69.33333333333333
Gevee,3,2429181.35,4.0,102.66666666666667
Miboo,3,2411009.77,3.6666666666666665,62.666666666666664
Kayveo,3,2404886.02,4.666666666666667,76.33333333333333
Yakidoo,3,2399530.52,3.3333333333333335,121.33333333333333
Brightbean,3,2390474.45,2.0,-27.666666666666668
Camido,3,2384426.76,2.6666666666666665,169.0
Photobug,3,2373349.38,3.0,-15.666666666666666
Tagopia,3,2371401.42,2.3333333333333335,120.33333333333333
Bubbletube,3,2366374.84,2.3333333333333335,41.666666666666664
Skyble,3,2353954.95,3.0,176.0
Eabox,3,2340104.79,3.3333333333333335,195.66666666666666
Janyx,3,2333923.37,3.6666666666666665,72.0
Vidoo,3,2325216.42,3.6666666666666665,131.66666666666666
Devshare,3,2298052.49,3.6666666666666665,181.66666666666666
Oloo,3,2281890.23,2.0,108.66666666666667
Gabvine,3,2249037.61,3.0,147.33333333333334
Vipe,3,2247362.01,2.3333333333333335,106.0
Zoozzy,2,1959794.92,4.5,-105.5
Jabberstorm,2,1941217.3599999999,3.5,-9.0
Trudoo,2,1922357.79,3.0,-23.5
Thoughtbridge,2,1914212.8199999998,4.0,-6.0
Photolist,2,1902795.2,5.0,44.0
JumpXS,2,1898727.46,2.5,-12.5
Shuffletag,2,1872819.1,1.0,86.5
LiveZ,2,1867964.83,2.5,173.0
Yozio,2,1862530.72,3.5,-30.0
Zazio,2,1858133.2999999998,3.0,64.0
Topicshots,2,1855700.81,3.0,180.5
Topiczoom,2,1854847.58,3.0,41.5
Devbug,2,1843413.5,1.5,70.5
Realcube,2,1832170.0899999999,1.0,5.0
Browsecat,2,1830453.49,3.0,178.5
Mita,2,1825992.78,2.5,147.5
Thoughtblab,2,1813657.2,3.5,77.5
Topicware,2,1809817.8599999999,5.0,22.0
Realbridge,2,1807774.52,4.0,124.0
Flipbug,2,1806076.93,2.0,107.5
Kwinu,2,1801872.26,3.5,149.5
Browsedrive,2,1796235.67,2.5,134.0
Meetz,2,1790700.5299999998,4.5,50.0
Meembee,2,1788086.9,1.0,244.5
Browseblab,2,1786361.1600000001,3.0,50.5
Linktype,2,1783517.73,4.0,156.0
Thoughtworks,2,1779956.6099999999,3.5,118.5
Demivee,2,1779519.99,2.0,90.5
Agivu,2,1778749.69,3.5,192.5
Kamba,2,1771135.13,2.0,104.0
Flashpoint,2,1766173.98,3.5,33.5
Browsebug,2,1759509.77,2.5,-14.0
Edgewire,2,1756222.4,1.5,126.5
Oyonder,2,1755488.7000000002,1.5,216.0
Edgetag,2,1755219.6,2.0,67.0
Devpulse,2,1754732.6099999999,3.0,206.5
Ozu,2,1752751.9300000002,3.0,111.0
Tambee,2,1751228.71,2.0,58.0
Cogidoo,2,1751173.5899999999,1.0,-23.0
Dazzlesphere,2,1750907.23,5.0,229.5
Jaxworks,2,1750822.97,4.0,-3.5
Photofeed,2,1742504.63,1.0,67.5
Riffwire,2,1742240.13,2.5,5.0
Agimba,2,1734424.75,3.0,90.0
Centizu,2,1732431.05,2.0,43.5
Thoughtsphere,2,1728953.38,4.0,200.0
Ntags,2,1728123.13,2.0,56.5
Gigaclub,2,1727034.4100000001,1.5,121.0
Feedfish,2,1726779.16,3.5,250.5
Myworks,2,1720904.23,1.0,-54.5
Jaxnation,2,1720641.0,4.5,91.5
Twinder,2,1719596.49,3.5,81.5
Mybuzz,2,1712519.23,4.5,236.0
Divape,2,1708413.1600000001,5.0,101.5
Tazz,2,1705186.33,3.5,137.0
Yodel,2,1703470.19,1.5,97.0
Vinder,2,1702505.56,3.0,66.5
Leenti,2,1701730.25,1.5,151.0
Jatri,2,1701429.92,1.5,156.0
Skiba,2,1698708.37,2.5,178.0
Meezzy,2,1692152.57,3.5,46.0
Tagtune,2,1685890.3399999999,2.0,86.5
Trilia,2,1682180.0099999998,3.0,205.0
Rhycero,2,1678661.0,3.0,112.5
Fanoodle,2,1676595.93,3.5,109.5
Quimm,2,1669880.1099999999,1.5,29.5
Thoughtmix,2,1655425.15,3.5,145.0
Rhyzio,2,1655311.9300000002,3.5,86.0
Viva,2,1650240.26,2.5,90.0
Dabfeed,2,1649145.1800000002,2.5,58.0
Mymm,2,1648648.19,5.0,-48.0
Skyndu,2,1648153.88,2.0,27.5
Jetpulse,2,1647548.27,4.5,124.5
Skibox,2,1636339.26,2.5,208.0
Muxo,2,1634062.1400000001,3.5,3.5
Kazio,2,1632051.6,3.5,103.5
Shufflester,2,1621872.3599999999,3.5,204.5
Kwideo,2,1620786.71,3.0,169.0
Photobean,2,1620737.99,3.0,278.5
Talane,2,1608525.69,4.0,148.5
Tagfeed,2,1608260.62,3.0,158.5
Youopia,2,1594902.89,3.0,103.5
Bubblemix,2,1594689.81,4.5,78.5
Oyondu,2,1593705.0499999998,5.0,127.0
Realpoint,2,1589478.25,4.5,117.0
Jaxspan,2,1588904.75,4.0,193.0
Avamba,2,1572581.94,3.5,82.0
Yacero,2,1566079.98,4.0,285.5
Gigashots,2,1565455.71,2.0,79.0
Gigazoom,2,1562448.4,4.5,-35.0
Oyoloo,2,1561426.47,4.0,34.0
Yamia,2,1550486.6400000001,3.0,67.0
Blognation,2,1548144.1600000001,3.0,73.0
Aibox,2,1547000.94,1.5,-6.0
Wordify,2,1545611.6,2.5,77.5
Riffpath,2,1526093.8900000001,2.5,93.0
Lajo,2,1494505.29,4.0,146.0
Buzzster,2,1493164.6,2.5,-49.5
Tanoodle,2,1470788.1099999999,1.5,54.0
Buzzdog,2,1464037.8599999999,3.5,-32.0
Devcast,2,1429826.33,3.0,220.5
Jaxbean,2,1402673.87,1.5,123.5
Chatterpoint,1,998946.17,2.0,110.0
Roodel,1,998843.29,4.0,-146.0
Demimbu,1,996374.15,2.0,73.0
Tavu,1,996299.49,2.0,295.0
Fliptune,1,995597.63,5.0,81.0
Einti,1,995138.41,2.0,77.0
Tagpad,1,993960.11,4.0,111.0
Fatz,1,992886.7,1.0,253.0
Shufflebeat,1,991577.15,1.0,41.0
Kaymbo,1,989798.81,3.0,119.0
Zooveo,1,987645.58,3.0,202.0
Blogpad,1,978988.09,1.0,150.0
Gigabox,1,978185.9,4.0,171.0
Twitterbridge,1,977073.6,5.0,31.0
Meedoo,1,976754.62,2.0,127.0
Topiclounge,1,974185.28,1.0,-6.0
Bluezoom,1,970572.88,1.0,241.0
Voolith,1,970170.69,2.0,209.0
Quire,1,961367.22,5.0,186.0
Fivechat,1,959754.27,1.0,339.0
Blogtag,1,948713.24,5.0,51.0
Yadel,1,947205.47,3.0,-4.0
Mudo,1,946609.07,2.0,234.0
Flashset,1,939816.56,1.0,-96.0
Jabbertype,1,938855.45,2.0,-44.0
Tazzy,1,936358.16,3.0,-65.0
Fiveclub,1,935182.86,3.0,45.0
Flashspan,1,933482.06,4.0,56.0
Twimm,1,929636.59,5.0,121.0
Photojam,1,916777.9,5.0,177.0
Wordpedia,1,912761.13,4.0,-8.0
Dabjam,1,911847.09,2.0,211.0
Wikido,1,903568.39,5.0,217.0
Centimia,1,896520.79,1.0,129.0
Pixope,1,893916.29,5.0,110.0
Edgeclub,1,893058.78,3.0,-45.0
Quinu,1,891387.37,2.0,224.0
Babbleset,1,885763.43,3.0,-75.0
Meeveo,1,882288.26,5.0,-6.0
Tekfly,1,881818.02,2.0,-21.0
Realfire,1,870236.27,4.0,120.0
Edgepulse,1,864404.36,4.0,68.0
Zoomzone,1,862877.87,3.0,130.0
Zoombox,1,848949.57,3.0,197.0
Babblestorm,1,848006.6,1.0,-37.0
Rhybox,1,846757.92,2.0,318.0
Flipstorm,1,841175.73,5.0,-21.0
Aimbu,1,838665.48,3.0,283.0
Feedspan,1,832447.02,4.0,263.0
Twitterbeat,1,829557.3,3.0,155.0
Oodoo,1,829499.12,4.0,289.0
Yoveo,1,819739.38,2.0,281.0
Tagchat,1,816767.44,4.0,85.0
Cogibox,1,808468.26,1.0,60.0
Skinder,1,807218.78,1.0,-16.0
Dablist,1,806288.94,4.0,109.0
Eire,1,805218.62,4.0,295.0
Yata,1,801115.22,3.0,106.0
Nlounge,1,796646.15,3.0,-1.0
Eazzy,1,793703.92,4.0,22.0
Twiyo,1,777987.42,4.0,-16.0
Dynazzy,1,767218.08,1.0,275.0
Voonder,1,763541.16,2.0,51.0
Eayo,1,758801.6,3.0,112.0
Skalith,1,758026.52,1.0,-112.0
Meevee,1,755927.31,5.0,52.0
Minyx,1,754455.42,4.0,-114.0
DabZ,1,752558.4,5.0,-69.0
Riffpedia,1,741782.1,5.0,31.0
Browsezoom,1,737010.7,1.0,-32.0
Trudeo,1,732441.62,3.0,285.0
Meemm,1,724816.67,2.0,-78.0
Zooxo,1,723633.61,5.0,128.0
Ooba,1,719077.52,3.0,248.0
Skajo,1,712411.61,3.0,-123.0
Dynava,1,709881.0,1.0,241.0
Npath,1,709349.55,2.0,183.0
Rhynoodle,1,706493.63,5.0,-30.0
Voonyx,1,706160.79,1.0,158.0
Aimbo,1,705887.49,1.0,88.0
Plambee,1,701286.37,4.0,7.0
